year,origin,destination,male-germans,female-germans,all-germans,male-foreigners,female-foreigners,all-foreigners,all-males,all-females,all
2001,Schleswig-Holstein,Hessen,886,893,1779,119,101,220,1005,994,1999
2001,Schleswig-Holstein,Rheinland-Pfalz,394,417,811,58,40,98,452,457,909
2001,Schleswig-Holstein,Baden-Wuerttemberg,1380,1417,2797,157,155,312,1537,1572,3109
2001,Schleswig-Holstein,Bayern,1367,1308,2675,203,134,337,1570,1442,3012
2001,Schleswig-Holstein,Saarland,74,66,140,3,6,9,77,72,149
2001,Schleswig-Holstein,Berlin,1192,987,2179,112,102,214,1304,1089,2393
2001,Schleswig-Holstein,Brandenburg,453,401,854,11,16,27,464,417,881
2001,Schleswig-Holstein,Mecklenburg-Vorpommern,1973,1761,3734,46,42,88,2019,1803,3822
2001,Schleswig-Holstein,Sachsen,332,245,577,17,11,28,349,256,605
2001,Schleswig-Holstein,Sachsen-Anhalt,260,213,473,14,5,19,274,218,492
2001,Schleswig-Holstein,Thueringen,200,141,341,21,7,28,221,148,369
2001,Schleswig-Holstein,Insgesamt,23199,22499,45698,2574,2059,4633,25773,24558,50331
2001,Hamburg,Schleswig-Holstein,9578,10248,19826,1045,807,1852,10623,11055,21678
2001,Hamburg,Hamburg,0,0,0,0,0,0,0,0,0
2001,Hamburg,Niedersachsen,5281,5606,10887,544,399,943,5825,6005,11830
2001,Hamburg,Bremen,294,273,567,74,48,122,368,321,689
2001,Hamburg,Nordrhein-Westfalen,1594,1656,3250,411,270,681,2005,1926,3931
2001,Hamburg,Hessen,726,700,1426,203,169,372,929,869,1798
2001,Hamburg,Rheinland-Pfalz,224,225,449,50,30,80,274,255,529
2001,Hamburg,Baden-Wuerttemberg,902,899,1801,225,141,366,1127,1040,2167
2001,Hamburg,Bayern,1112,1083,2195,330,178,508,1442,1261,2703
2001,Hamburg,Saarland,47,45,92,8,13,21,55,58,113
2001,Hamburg,Berlin,1254,1156,2410,209,144,353,1463,1300,2763
2001,Hamburg,Brandenburg,286,238,524,25,13,38,311,251,562
2001,Hamburg,Mecklenburg-Vorpommern,859,800,1659,48,29,77,907,829,1736
